year,alcohol,consumption (%),total consumption
2017,distilled alcohol (any),0.138,9.27
2017,liquor,0.086,9.27
2017,other alcohols,0.149,9.27
2018,Takju,0.668,9.043
2018,Yakju,0.03,9.043
2018,rice wine,0.097,9.043
2018,beer,2.033,9.043
2018,fruit wine,0.16,9.043
2018,distilled soju,0.015,9.043
2018,diluted soju,5.451,9.043
2018,whiskey,0.135,9.043
2018,brandy,0.005,9.043
2018,distilled alcohol (any),0.134,9.043
2018,liquor,0.081,9.043
2018,other alcohols,0.235,9.043
2019,Takju,0.609,8.81
2019,Yakju,0.029,8.81
2019,rice wine,0.082,8.81
2019,beer,1.961,8.81
2019,fruit wine,0.182,8.81
2019,distilled soju,0.015,8.81
2019,diluted soju,5.385,8.81
2019,whiskey,0.112,8.81
2019,brandy,0.005,8.81
2019,distilled alcohol (any),0.128,8.81
2019,liquor,0.074,8.81
2019,other alcohols,0.228,8.81
2020,Takju,0.618,8.342
2020,Yakju,0.024,8.342
2020,rice wine,0.076,8.342
2020,beer,1.726,8.342
2020,fruit wine,0.223,8.342
2020,distilled soju,0.016,8.342
2020,diluted soju,5.095,8.342
2020,whiskey,0.092,8.342
2020,brandy,0.005,8.342
2020,distilled alcohol (any),0.12,8.342
2020,liquor,0.059,8.342
2020,other alcohols,0.286,8.342
2021,Takju,0.588,8.071
2021,Yakju,0.029,8.071
2021,rice wine,0.079,8.071
2021,beer,1.672,8.071
2021,fruit wine,0.316,8.071
2021,distilled soju,0.021,8.071
2021,diluted soju,4.783,8.071
2021,whiskey,0.099,8.071
2021,brandy,0.006,8.071
2021,distilled alcohol (any),0.116,8.071
2021,liquor,0.067,8.071
2021,other alcohols,0.297,8.071
